Type,Component,Labour/Transport/Wastage/Profit,Labour/Transport/Plant_Fixed,Time/Distance,Rate,Quantity,BOQ UoM,Comment,,,,,,,
Ring Beam_200x200mm,Transport Fixed,,100,,,,,,,,,,,,
Ring Beam_200x200mm,Transport  Kilometres,,,1,100,,,,,,,,,,
Ring Beam_200x200mm,Wastage and Shrinkage losses,2%,,,,,,Test cubes & other losses,,,,,,,
Ring Beam_200x200mm,Plant and Equipment,0%,0,0,0,,,"Concrete Mixer, Pocker",,,,,,,
Ring Beam_200x200mm,Profit and Overheads,7%,,,,,,Profit and Overheads,,,,,,,
,,,,,,,,,,,,,,,
Air vents - PVC made,Air vents - PVC made,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
"Curtain Single Track -2m","Curtain Single Track -2m",,,1,,,,,,,,,,,
Curtain Steel Rod - 2.5m,Curtain Steel Rod - 2.5m,,,1,,,,,,,,,,,
Curtain Steel Rod - 3m,Curtain Steel Rod - 3m,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2400 mm x 1200 mm,0,,,,,5,,,,,,,,,
TK,0,,,,,5,,,,,,,,,
Lipped Channel 150x50x20x3mm,Lipped Channels 150 x 50 x 20 x 3mm 12m,,,,,0.083333333,,,,,,,,,
,,,,,,,,,,,,,,,
UC152x152x23,Cement 42.5-50Kg,,,,,12,,,,,,,,,
UC152x152x24,Quarry Dust (A),,,,,0.3,,,,,,,,,
UC152x152x25,Crushed Stones - 20mm,,,,,0.7,,,,,,,,,
,CrushedStone,,,,,0.7,,,,,,,,,
,,,,,,,,,,,,,,,
300 x 300mm,Cement 42.5-50Kg,,,,,12,,,,,,,,,
301 x 300mm,Quarry Dust (A),,,,,0.3,,,,,,,,,
302 x 300mm,Crushed Stones - 20mm,,,,,0.7,,,,,,,,,
303 x 300mm,CrushedStone,,,,,0.7,,,,,,,,,
,,,,,,,,,,,,,,,
C1,CrushedStone,,,,,0.7,,,,,,,,,
C1,Cement_50kg bag,,,,,12,,,,,,,,,
C1,Quarry dust,,,,,0.3,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Switch,Switch - 1 gang - PVC,,,,,1,,,,,,,,,
Switch,Labour for fitting switch,20%,,,,1,,Labour @ 20% of material cost,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A,Air Conditioner 9000 BTU Wall Mount Split type,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Conduitpipes - 25mm (Heavy Duty),"Conduitpipes - 4m x25mm x 25 pcs PVC(Heavy Duty)",,,,,0.01,,,,,,,,,
,,,,,,,,,,,,,,,
Fluorescent Double Fitting - 4 ft ,Fluorescent Double Fitting - 4 ft (1219mm),,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
Socket - Single outlet - PVC,Socket - Single outlet - PVC,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
Looping box - PVC 4 way,Looping box - PVC 4 way,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
Timber - Sawn softwood 50 x 50mm,Timber - Sawn softwood 50 x 50mm x 5m,,,,,0.2,,,,,,,,,
,,,,,,,,,,,,,,,
PVC Ceiling,Ceiling - PVC Ceiling,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
Window,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Glass - 4mm thick clear glass,Glass - 4mm thick clear glass,,,,,1,,,,,,,,,
Glass - 4mm thick clear glass,Window Putty,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Glass - 4mm thick obscure glass,Glass - 4mm thick obscure glass,,,,,1,,,,,,,,,
Glass - 4mm thick obscure glass,Window Putty,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Glass - 6mm thick clear glass,Glass - 6mm thick clear glass,,,,,1,,,,,,,,,
Glass - 6mm thick clear glass,Window Putty,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Glass - 6mm thick Georgian wire glass,Glass - 6mm thick Georgian wire glass,,,,,1,,,,,,,,,
Glass - 6mm thick Georgian wire glass,Window Putty,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Glass - 6mm thick obscure glass,Glass - 6mm thick obscure glass,,,,,1,,,,,,,,,
Glass - 6mm thick obscure glass,Window Putty,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Glass - 8mm thick obscure glass,Glass - 8mm thick obscure glass,,,,,1,,,,,,,,,
Glass - 8mm thick obscure glass,Window Putty,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Door - 825 x 1960 x 44mm Thick Mukwa Door,"Door - 825 x 1960 x44mm Thick MukwaDoor",,,,,1,,,,,,,,,
Door - 825 x 1960 x 44mm Thick Mukwa Door,"Steel door frame 900 x2000 mm complete with grill door",,,,,1,,,,,,,,,
Door - 825 x 1960 x 44mm Thick Mukwa Door,"Three lever mortice doorlockset",,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
T,"Tiles - 600 x 600mm x10mm Ceramic-NonSlippery",,,,,0.25,,,,,,,,,
,,,,,,,,,,,,,,,
Distribution Board,Main Circuit Breaker (MCB) 5 Amp,,,,,1,,,,,,,,,
Distribution Board,Main Circuit Breaker (MCB) 10 Amp,,,,,1,,,,,,,,,
Distribution Board,Main Circuit Breaker (MCB) 30 Amp,,,,,1,,,,,,,,,
Distribution Board,Main Circuit Breaker (MCB) 60 Amp,,,,,1,,,,,,,,,
Distribution Board,Distribution box 8 way - GI (Local),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fascia Board,"Timber - Sawn softwood 150 x 50mm x 5m",,,,,0.2,,,,,,,,,
Fascia Board,Labour ,25%,,,,1,,,,,,,,,
Fascia Board,Labour Skilled ,,100,,,,,,,,,,,,
Fascia Board,Labour Unskilled,,200,,,,,,,,,,,,
Fascia Board,Labour  Hours,,,1,200,,,,,,,,,,
Fascia Board,Transport ,7%,,,,1,,,,,,,,,
Fascia Board,Transport Fixed,,100,,,,,,,,,,,,
Fascia Board,Transport  Kilometres,,,1,100,,,,,,,,,,
Fascia Board,Wastage and Shrinkage losses,2%,,,,,,,,,,,,,
Fascia Board,Plant and Equipment,0%,0,0,0,,,,,,,,,,
Fascia Board,Profit and Overheads,7%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Toilet Cistern (Ceramic) - 9 Litres,Toilet Cistern (Ceramic) - 9 Litres,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
Urinal bowl - Ceramic (Manual),Urinal bowl - Ceramic (Manual),,s,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
Waste pipe (PVC) - 50mm diameter,Waste pipe (PVC) - 50mm diameter (2 inches) -6m,,,,,0.166666667,,,,,,,,,
,,,,,,,,,,,,,,,
Y bend new,Bend - 32mm (1 ¼ Inch) Diameter PVC plain,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
Gate valve - 13mm (½ inch) - PVC,Gate valve - 13mm (½ inch) - PVC,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
Roofing sheet 0.4mm thick IBR/IT4 colour coated sheet,Roofing sheet 0.4mm thick IBR/IT4 colour coated sheet,,,,,1.4577,,,,,,,,,
,,,,,,,,,,,,,,,
Fire Extinguisher - 6 litre Water (H20),Fire Extinguisher - 6 litre Water (H20),,,,,1,,,,,,,,,
