Type,Component,Labour/Transport/Wastage/Profit,Labour/Transport/Plant_Fixed,Time/Distance,Rate,Quantity,BOQ UoM,Comment,,,,,,,
Foundation walls_150mm,Wastage and Shrinkage losses,0%,,,,,,Test cubes & other losses,,,,,,,
Foundation walls_150mm,Plant and Equipment,0%,0,0,0,,,"Concrete Mixer, Pocker",,,,,,,
Foundation walls_150mm,Profit and Overheads,7%,,,,,,Profit and Overheads,,,,,,,
,,,,,,,,,,,,,,,
Concrete_slab_100mm,Cement 42.5-50Kg,,,,,7,,Grade C25 or mix ratio 1:2:4,,,for m3 of concrete grade C25 we need :,,,,cement in bags
Concrete_slab_100mm,Quarry Dust (A),,,,,0.35,,6mm quarry dust ,,,,,,,Quarry dust in tons
Concrete_slab_100mm,Crushed Stones - 20mm,,,,,0.7,,,,,,,,,Water in litres
Concrete_slab_100mm,"Conforce wire - 257-4mm x 48 meterslength(Heavy Duty)",,,,,0.088,,,,,,,,,
Concrete_slab_100mm,"Steel nails - 4 inches(Concrete Nails)",,,,,1,,,,,,,,,
Concrete_slab_100mm,"Damp Proof Membrane(DPM) - Black plastic",,,,,0.2,,,,,,,,,
Concrete_slab_100mm,"Timber - Sawn softwood 100 x 25mm x 5m",,,,,1,,,? Rule:,,,,,,
Concrete_slab_100mm,Labour for Concrete slab,25%,,,,1,,Labour @ 20% of material cost,Always start component names clearly:,,,,,,
Concrete_slab_100mm,Labour for Concrete slab Skilled ,,0,,,,,,,,,,,,
Concrete_slab_100mm,Labour for Concrete slab Unskilled,,0,,,,,,Labour for ...,,,,,,
Concrete_slab_100mm,Labour for Concrete slab Hours,,,0,0,,,,,,,,,,
Concrete_slab_100mm,Transport for Concrete slab,7%,,,,1,,Transport @ 10% of material cost,Transport for ...,,,,,,
Concrete_slab_100mm,Transport for Concrete slab Fixed,,10,,,,,,,,,,,,
Concrete_slab_100mm,Transport for Concrete slab Kilometres,,,65,9.8,,,,,,,,,,
Concrete_slab_100mm,Wastage and Shrinkage losses,2%,,,,,,Test cubes & other losses,,,,,,,
Concrete_slab_100mm,Plant and Equipment,0%,0,0,0,,,"Concrete Mixer, Pocker",,,,,,,
Concrete_slab_100mm,Profit and Overheads,7%,,,,,,Profit and Overheads,,,,,,,
,,,,,,,,,,,,,,,
Concrete_slab_150mm,Cement 42.5-50Kg,,,,,7,,Grade C25 or mix ratio 1:2:4,,,for m3 of concrete grade C25 we need :,,,,cement in bags
Concrete_slab_150mm,Quarry Dust (A),,,,,0.35,,6mm quarry dust ,,,,,,,Quarry dust in tons
Concrete_slab_150mm,Crushed Stones - 20mm,,,,,0.7,,,,,,,,,Water in litres
Concrete_slab_150mm,Conforce wire - 257-4mm x 48 meters length(Heavy Duty),,,,,0.088,,,,,,,,,
Concrete_slab_150mm,Steel nails - 4 inches (Concrete Nails),,,,,1,,,,,,,,,
Concrete_slab_150mm,Damp Proof Membrane (DPM) - Black plastic,,,,,0.2,,,,,,,,,
Concrete_slab_150mm,Timber - Sawn softwood 100 x 25mm x 5m,,,,,1,,,? Rule:,,,,,,
Concrete_slab_150mm,Labour for Concrete slab,25%,,,,1,,Labour @ 20% of material cost,Always start component names clearly:,,,,,,
Concrete_slab_150mm,Labour for Concrete slab Skilled ,,0,,,,,,,,,,,,
Concrete_slab_150mm,Labour for Concrete slab Unskilled,,0,,,,,,Labour for ...,,,,,,
Concrete_slab_150mm,Labour for Concrete slab Hours,,,0,0,,,,,,,,,,
Concrete_slab_150mm,Transport for Concrete slab,7%,,,,1,,Transport @ 10% of material cost,Transport for ...,,,,,,
Concrete_slab_150mm,Transport for Concrete slab Fixed,,10,,,,,,,,,,,,
Concrete_slab_150mm,Transport for Concrete slab Kilometres,,,65,9.8,,,,,,,,,,
Concrete_slab_150mm,Wastage and Shrinkage losses,2%,,,,,,Test cubes & other losses,,,,,,,
Concrete_slab_150mm,Plant and Equipment,0%,0,0,0,,,"Concrete Mixer, Pocker",,,,,,,
Concrete_slab_150mm,Profit and Overheads,7%,,,,,,Profit and Overheads,,,,,,,
,,,,,,,,,,,,,,,
Superstructure Walls_150mm,Concrete Hollow Block - 8 Inch (200mm) thick,,,,,14.17,,blocks per sq.m with 5% waste per sq.m per 14.17 block,,,,,,,
Superstructure Walls_150mm,Cement 42.5-50Kg,,,,,1,,cement for motar per sq.m with 40% shrinkage,,,,,,,
Superstructure Walls_150mm,Brick force Wire 6 inch (150mm),,,,,3,,Conforce wire every 2 courses per sq.m,,,,,,,
Superstructure Walls_150mm,Quarry Dust (A),,,,,0.15,,Sand for motor per cu.m,,,,,,,
Superstructure Walls_150mm,Labour ,25%,,,,1,,Labour @ 20% of material cost,,,,,,,
Superstructure Walls_150mm,Labour Skilled ,,0,,,,,,,,,,,,
Superstructure Walls_150mm,Labour Unskilled,,0,,,,,,Labour for ...,,,,,,
Superstructure Walls_150mm,Labour  Hours,,,0,0,,,,,,,,,,
Superstructure Walls_150mm,Transport ,0%,,,,1,,Transport @ 10% of material cost,Transport for ...,,,,,,
Superstructure Walls_150mm,Transport Fixed,,16.8,,,,,,,,,,,,
Superstructure Walls_150mm,Transport  Kilometres,,,0,0,,,,,,,,,,
Superstructure Walls_150mm,Wastage and Shrinkage losses,0%,,,,,,Test cubes & other losses,,,,,,,
Superstructure Walls_150mm,Plant and Equipment,5%,0,0,0,,,"Concrete Mixer, Pocker",,,,,,,
Superstructure Walls_150mm,Profit and Overheads,7%,,,,,,Profit and Overheads,,,,,,,
,,,,,,,,,,,,,,,
Partition Walls_100mm,Concrete Hollow Block - 8 Inch (200mm) thick,,,,,14.17,,blocks per sq.m with 5% waste per sq.m per 14.17 block,,,,,,,
Partition Walls_100mm,Cement 42.5-50Kg,,,,,1,,cement for motar per sq.m with 40% shrinkage,,,,,,,
Partition Walls_100mm,Brick force Wire 6 inch (150mm),,,,,3,,Conforce wire every 2 courses per sq.m,,,,,,,
Partition Walls_100mm,Quarry Dust (A),,,,,0.15,,Sand for motor per cu.m,,,,,,,
Partition Walls_100mm,Labour ,25%,,,,1,,Labour @ 20% of material cost,,,,,,,
Partition Walls_100mm,Labour Skilled ,,0,,,,,,,,,,,,
Partition Walls_100mm,Labour Unskilled,,0,,,,,,Labour for ...,,,,,,
Partition Walls_100mm,Labour  Hours,,,0,0,,,,,,,,,,
Partition Walls_100mm,Transport ,0%,,,,1,,Transport @ 10% of material cost,Transport for ...,,,,,,
Partition Walls_100mm,Transport Fixed,,16.8,,,,,,,,,,,,
Partition Walls_100mm,Transport  Kilometres,,,0,0,,,,,,,,,,
Partition Walls_100mm,Wastage and Shrinkage losses,5%,,,,,,Test cubes & other losses,,,,,,,
Partition Walls_100mm,Plant and Equipment,0%,0,0,0,,,"Concrete Mixer, Pocker",,,,,,,
Partition Walls_100mm,Profit and Overheads,7%,,,,,,Profit and Overheads,,,,,,,
,,,,,,,,,,,,,,,
"Steel window frame Overall size 600 x500mm high complete with burglar bars","Steel window frame Overall size 600 x500mm high complete with burglar bars",,,,,1,,,,,,,,,
"Steel window frame Overall size 600 x500mm high complete with burglar bars",Window handle,,,,,1,,,,,,,,,
"Steel window frame Overall size 600 x500mm high complete with burglar bars",Window hinge (pair),,,,,2,,,,,,,,,
"Steel window frame Overall size 600 x500mm high complete with burglar bars",Window peg stay,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
"Steel window frame Overall size 1200 x500mm high complete with burglar bars","Steel window frame Overall size 1200 x500mm high complete with burglar bars",,,,,1,,,,,,,,,
"Steel window frame Overall size 1200 x500mm high complete with burglar bars",Window handle,,,,,1,,,,,,,,,
"Steel window frame Overall size 1200 x500mm high complete with burglar bars",Window hinge (pair),,,,,2,,,,,,,,,
"Steel window frame Overall size 1200 x500mm high complete with burglar bars",Window slide,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
"Steel window frame Overall size 1200 x900mm high complete with burglar bars","Steel window frame Overall size 1200 x900mm high complete with burglar bars",,,,,1,,,,,,,,,
"Steel window frame Overall size 1200 x900mm high complete with burglar bars",Window handle,,,,,1,,,,,,,,,
"Steel window frame Overall size 1200 x900mm high complete with burglar bars",Window hinge (pair),,,,,2,,,,,,,,,
"Steel window frame Overall size 1200 x900mm high complete with burglar bars",Window slide,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,
Window Frame_1200x1100mm Complete with burglar bars,"Steel window frame Overall size 1200 x1100mm high complete with burglar bars",,,,,1,,,,,,,,,
Window Frame_1200x1100mm Complete with burglar bars,Window handle,,,,,1,,,,,,,,,
Window Frame_1200x1100mm Complete with burglar bars,Window hinge (pair),,,,,2,,,,,,,,,
