Item,,UnitCost
Glass - 6mm thick clear glass,m2,994
Glass - 6mm thick Georgian wire glass,m2,1452
Glass - 6mm thick obscure glass,m2,1352
Glass - 8mm thick clear glass,m2,1157
Glass - 8mm thick obscure glass,m2,1955
Glass cutter,Each,70
Glass putty knife,Each,40
Glue - PVC 250ml,Each,65
Glue - PVC 500ml,Each,109
Glue - Wood 250ml,Each,73
Glue - Wood 500ml,Each,98
Grinding Disc 100mm (4 inch),Each,55
Grinding Disc 115mm (4.5 inch),Each,78
Grinding Disc 125mm (5 inch),Each,97
Grinding Disc 180mm (7 inch),Each,125
Grinding Disc 230mm (9 inch),Each,175
Grinding Disc 300mm (12 inch),Each,242
Grinding Disc 350mm (14 inch),Each,301
Gulley trap - 110mm (4.3 inch) Diameter - PVC,Each,128
Hacksaw blade -12 inches (300mm).,Each,33
Hack-Saw Frame(Metal) -12 inches (300mm),Each,117
High tensile steel rod; 10mm diameter deformed bars x12 meters,Each,186
High tensile steel rod; 10mm diameter round bars x 12meters,Each,168
High tensile steel rod; 12mm diameter deformed bars x12 meters,Each,238
High tensile steel rod; 12mm diameter round bars x 12meters,Each,218
High tensile steel rod; 16mm diameter deformed bars x 12 meters,Each,409
High tensile steel rod; 16mm diameter round bars x 12meters,Each,372
High tensile steel rod; 20mm diameter deformed bars x 12 meters,Each,760
High tensile steel rod; 20mm diameter round bars x 12meters,Each,473
High tensile steel rod; 25mm diameter deformed bars x 12 meters,Each,1108
High tensile steel rod; 32mm diameter deformed bars x 12meters,Each,1438
High tensile steel rod; 6mm diameter round bars x 6 meters,Each,70
High tensile steel rod; 8mm diameter deformed bars x12 meters,Each,140
High tensile steel rod; 8mm diameter round bars x 12meters,Each,129
Hinges - Butterfly - 4 inch,Each,43
Hinges - Butterfly-5 inch,Each,67
Hinges - Butterfly-6 inch,Each,73
Inspection bend - 32mm(1 ¼ inches) Diameter - PVC,Each,22
Inspection bend - 38mm( 1 ½ inches) Diameter- PVC,Each,28
Inspection Tee - 110mm (4.3 inches) Diameter - PVC,Each,94
J-hook (roofing bolt) 4 inches (102mm),kg,251
J-hook (roofing bolt) 9 inches (229mm),kg,295
Lamp holder (lightbulb socket),Each,25
Laterite (Gravel),Ton,498
Laundry Concrete Trough - Double bowl,Each,1208
Laundry Concrete Trough - Single bowl,Each,1128
Laundry Stainless Steel Trough - Double bowl,Each,4999
Laundry Stainless Steel Trough - Single bowl,Each,2972
Lipped Channels 100 x 75 x 20 x 3mm 12m,Each,1532
Lipped Channels 150 x 50 x 20 x 3mm 12m,Each,2136
Lipped Channels 200 x 50 x 20 x 3mm 12m,Each,3014
Lipped Channels 250 x 50 x 20 x 3mm 12m,Each,3450
Lipped Channels 300 x 50 x 20 x 3mm 12m,Each,4025
Lipped Channels 75 x 50 x 20 x 3mm - 12m,Each,1329
Male adaptor -13mm (½ inch) - PVC,Each,21
Male adaptor -13mm (½ inch)- GI,Each,24
Nipple - 13mm (½ inch) - GI,Each,19
Nipple -13mm (½ inch) - PVC,Each,12
Non return Valves - 38mm (1 ½ inch) - Brass,Each,254
Nylon rope 12mm x 50m,Each,551
Nylon rope 20mm x 50m,Each,754
Nylon rope 6mm x 50m,Each,311
Padlock - Brass long shackle 30mm,Each,91
Padlock - Brass long shackle 63mm,Each,183
Padlock - Discus 60mm,Each,103
Padlock - Discus 90mm,Each,139
Padlock - Iron 32mm,Each,61
Padlock - Iron 52mm,Each,99
Paint - Black Bituminous - 5 Litres,Each,157
Paint - Brick Varnish 5 litres,Each,618
Paint - Clear Vanish 5 litres,Each,569
Paint - Gloss (Oil paint) - 5 Litres,Each,517
Paint - PVA (Emulsion paint) - 20Litres,Each,437
Paint - PVA (Emulsion paint) - 5Litres,Each,165
Paint - PVA Washable paint-20Ltrs,Each,1651
Paint - Red oxide 5 litres,Each,439
Paint - Wood Vanish 5 litres,Each,591
Paint Brush 1.5 inch (38mm),Each,18
Paint Brush 2 inch (51mm),Each,25
Paint Brush 4 inch (102mm),Each,39
Paint Brush 6 inch (152mm),Each,57
Paint Brush 8 inch (203mm),Each,65
Paint -Undercoat paint - 20Litres,Each,562
Pan connector - 110mm Diameter PVC,Each,67
Particle Ceiling Board - 8mm sheet,Each,307
